"propadult","temperature","taxa"
"0.0578940528688323","1","CHIR"
"0.0171472209015191","1","CHIR"
"0.0169283337739276","1","CHIR"
"0.0335172353895603","1","CHIR"
"0.0119217838653474","1","CHIR"
"0.0109714488251675","1","CHIR"
"0.014459422291864","1","CHIR"
"0.00664251268123549","1","CHIR"
"0.011135566491549","1","CHIR"
"0.0273059331190225","1","CHIR"
"0.0141421943448166","1","CHIR"
"0.0166674459650366","1","CHIR"
"0.037450171515655","1","CHIR"
"0.0133406795893376","1","CHIR"
"0.0151138085249987","1","CHIR"
"0.0531108217143124","1","CHIR"
"0.0614835050004654","1","CHIR"
"0.024444376467976","1","CHIR"
"0.0279469602167061","1","CHIR"
"0.132232694582845","1","CHIR"
"0.241592807406374","1","CHIR"
"0.0398569313626791","1","CHIR"
"0.0113925521033133","1","CHIR"
"0.0301857275770558","1","CHIR"
"0.0831286108821318","1","CHIR"
"0.109069631330901","1","CHIR"
"0.0955533076778954","1","CHIR"
"0.0173400108791795","1","CHIR"
"0.0087774187566611","1","CHIR"
"0.0276027866119296","1","CHIR"
"0.0313807415356674","1","CHIR"
"0.0105245585169895","1","CHIR"
"0.00510227446190406","1","CHIR"
"0.0105107939080953","1","CHIR"
"0.022616969163125","1","CHIR"
"0.0190445887977294","1","CHIR"
"0.0090985059135001","1","CHIR"
"0.0168328157983864","1","CHIR"
"0.0325129081543015","1","CHIR"
"0.0202011263584456","1","CHIR"
"0.0213428379879428","1","CHIR"
"0.0415628478740334","1","CHIR"
"0.0490890528527095","1","CHIR"
"0.0274882581714092","1","CHIR"
"0.0248407876838966","1","CHIR"
"0.0930059162055619","1","CHIR"
"0.226817978102661","1","CHIR"
"0.0612408346370982","1","CHIR"
"0.0202363982795003","1","CHIR"
"0.0216631306226599","1","CHIR"
"0.0536433909124039","1","CHIR"
"0.092615428826079","1","CHIR"
"0.104281321953383","1","CHIR"
"0.0250782487387882","1","CHIR"
"0.00759823223973553","1","CHIR"
"0.0213430558565659","1","CHIR"
"0.0332061729537385","1","CHIR"
"0.013941299721855","1","CHIR"
"0.00402662581186236","1","CHIR"
"0.0117033414284488","1","CHIR"
"0.00502007203626605","1","CHIR"
"0.0148887517957459","1","CHIR"
"0.020398413829434","1","CHIR"
"0.0229444586745034","1","CHIR"
"0.0389753580554601","1","CHIR"
"0.014650511107057","1","CHIR"
"0.0226866014045135","1","CHIR"
"0.0480487610314101","1","CHIR"
"0.0612294461964852","1","CHIR"
"0.0154245492699614","1","CHIR"
"0.0234351047388118","1","CHIR"
"0.161014743393994","1","CHIR"
"0.176311154281583","1","CHIR"
"0.0951027601852401","1","CHIR"
"0.0133808432288239","1","CHIR"
"0.0186993526282294","1","CHIR"
"0.107126021399357","1","CHIR"
"0.097201274675065","1","CHIR"
"0.0727539954080866","1","CHIR"
"0.018648427932417","1","CHIR"
"0.0145400574360684","1","CHIR"
"0.0313621880265078","1","CHIR"
"0.0113347394974698","1","CHIR"
"0.0112633547826437","1","CHIR"
"0.0143612554329281","1","CHIR"
"0.00571542616652287","1","CHIR"
"0.0105893949414431","1","CHIR"
"0.0287525535804352","1","CHIR"
"0.015646827093059","1","CHIR"
"0.0191217367129549","1","CHIR"
"0.0326764510603373","1","CHIR"
"0.0108641344097909","1","CHIR"
"0.0173843116698319","1","CHIR"
"0.0622523214210265","1","CHIR"
"0.0607002607864442","1","CHIR"
"0.0200556193740255","1","CHIR"
"0.0266498227159301","1","CHIR"
"0.152702140049554","1","CHIR"
"0.244032344234325","1","CHIR"
"0.0523374098714554","1","CHIR"
"0.0102958609105783","1","CHIR"
"0.0223322815900562","1","CHIR"
"0.0894566539980788","1","CHIR"
"0.113309906944283","1","CHIR"
"0.116526741322472","1","CHIR"
"0.015393500410417","1","CHIR"
"0.00773258073149754","1","CHIR"
"0.0357300842071121","1","CHIR"
"0.038917240739211","1","CHIR"
"0.00836903137645528","1","CHIR"
"0.00475624872265855","1","CHIR"
"0.012261419321107","1","CHIR"
"0.0227691898449161","1","CHIR"
"0.0187158062656373","1","CHIR"
"0.00886334597040554","1","CHIR"
"0.016958028157574","1","CHIR"
"0.0355332218549896","1","CHIR"
"0.0184346702465555","1","CHIR"
"0.0193179598873577","1","CHIR"
"0.0427079163683679","1","CHIR"
"0.0558858357143946","1","CHIR"
"0.0248961096289474","1","CHIR"
"0.0220204075543303","1","CHIR"
"0.0988607574612984","1","CHIR"
"0.222994225367114","1","CHIR"
"0.080357548416635","1","CHIR"
"0.0198403630171176","1","CHIR"
"0.0164307824899038","1","CHIR"
"0.0550101354256975","1","CHIR"
"0.0918101068792836","1","CHIR"
"0.102174199759844","1","CHIR"
"0.0268832141518109","1","CHIR"
"0.00801002934420751","1","CHIR"
"0.0214327232318338","1","CHIR"
"0.0285175132417576","1","CHIR"
"0.0160551007229273","1","CHIR"
"0.00450633881234056","1","CHIR"
"0.00952969440499687","1","CHIR"
"0.0057319788788701","1","CHIR"
"0.0187192169321505","1","CHIR"
"0.0172436994462808","1","CHIR"
"0.0187447846453513","1","CHIR"
"0.040989720053163","1","CHIR"
"0.0147417957132801","1","CHIR"
"0.0211671404269324","1","CHIR"
"0.0536584963602826","1","CHIR"
"0.0671892561438452","1","CHIR"
"0.0140065975647497","1","CHIR"
"0.0210570212876118","1","CHIR"
"0.174669235898817","1","CHIR"
"0.209282264068132","1","CHIR"
"0.0733403861845199","1","CHIR"
"0.0108479325289826","1","CHIR"
"0.021447830282162","1","CHIR"
"0.111900969363951","1","CHIR"
"0.105893767662843","1","CHIR"
"0.0786080009564092","1","CHIR"
"0.0164944107964538","1","CHIR"
"0.0133513088129968","1","CHIR"
"0.0355987231616451","1","CHIR"
"0.0117939796706799","1","CHIR"
"0.00990576664804387","1","CHIR"
"0.0153469106291021","1","CHIR"
"0.00630600140854926","1","CHIR"
"0.0104846878200675","1","CHIR"
"0.0266303956935491","1","CHIR"
"0.0151137509817932","1","CHIR"
"0.0205022942858399","1","CHIR"
"0.0361104491375112","1","CHIR"
"0.010242217319639","1","CHIR"
"0.0160131084062934","1","CHIR"
"0.0649843556115455","1","CHIR"
"0.0668696063831517","1","CHIR"
"0.0203191822762051","1","CHIR"
"0.0243601294500401","1","CHIR"
"0.141812724236475","1","CHIR"
"0.25163674278093","1","CHIR"
"0.0624629389764192","1","CHIR"
"0.0105968185402433","1","CHIR"
"0.0194681240832497","1","CHIR"
"0.083108292202225","1","CHIR"
"0.11475922107017","1","CHIR"
"0.111342791844225","1","CHIR"
"0.016386512704177","1","CHIR"
"0.00793326881546879","1","CHIR"
"0.0329597712420958","1","CHIR"
"0.0367019896016113","1","CHIR"
"0.00883743967480179","1","CHIR"
"0.00474438726980537","1","CHIR"
"0.0114783029573455","1","CHIR"
"0.0221908812516319","1","CHIR"
"0.0212762861106093","1","CHIR"
"0.00900036008040424","1","CHIR"
"0.0149937545251261","1","CHIR"
"0.0363914020772866","1","CHIR"
"0.0206556742945151","1","CHIR"
"0.0193567393500478","1","CHIR"
"0.0403910212405354","1","CHIR"
"0.0585771594167212","1","CHIR"
"0.0250673118024517","1","CHIR"
"0.0213556782337396","1","CHIR"
"0.0996037551160483","1","CHIR"
"0.228169235691384","1","CHIR"
"0.0842500964018678","1","CHIR"
"0.0192288707702612","1","CHIR"
"0.0156983927718366","1","CHIR"
"0.0552652539866638","1","CHIR"
"0.0924229866970619","1","CHIR"
"0.108242245521158","1","CHIR"
"0.027049160839438","1","CHIR"
"0.00772480369087606","1","CHIR"
"0.0210382785915251","1","CHIR"
"0.0297942554978861","1","CHIR"
"0.0159823250257746","1","CHIR"
"0.00432982835190397","1","CHIR"
"0.009846986269298","1","CHIR"
"0.005655958701857","1","CHIR"
