"biomass","temperature","taxa"
"2117.07733415271","1","NZMS"
"2106.89285381879","1","NZMS"
"2101.39043162736","1","NZMS"
"2109.27030894159","1","NZMS"
"2116.09761421275","1","NZMS"
"2109.42093531283","1","NZMS"
"2107.70893380594","1","NZMS"
"2106.26185596354","1","NZMS"
"2120.10630345102","1","NZMS"
"2118.17024441295","1","NZMS"
"2112.59702179508","1","NZMS"
"2107.88613325634","1","NZMS"
"2098.6997654836","1","NZMS"
"2112.34293044093","1","NZMS"
"2123.37377601073","1","NZMS"
"2111.67848637196","1","NZMS"
"2118.32016790723","1","NZMS"
"2113.22549322454","1","NZMS"
"2106.35004162424","1","NZMS"
"2112.61240673279","1","NZMS"
"2110.84530949092","1","NZMS"
"2106.25774060015","1","NZMS"
"2108.01429834224","1","NZMS"
"2110.55340887484","1","NZMS"
"2107.6775964569","1","NZMS"
"2108.5766350843","1","NZMS"
"2114.52445110125","1","NZMS"
"2101.64981946617","1","NZMS"
"2115.52325181893","1","NZMS"
"2114.52652055515","1","NZMS"
"2107.09285688505","1","NZMS"
"2116.64956270349","1","NZMS"
"2116.45140383251","1","NZMS"
"2111.48211486053","1","NZMS"
"2114.07623140566","1","NZMS"
"2115.97389887293","1","NZMS"
"2106.55900513938","1","NZMS"
"2113.36779511767","1","NZMS"
"2119.57415831628","1","NZMS"
"2104.55876569123","1","NZMS"
"2106.36256341251","1","NZMS"
"2119.29970433184","1","NZMS"
"2106.45685931389","1","NZMS"
"2106.23644960222","1","NZMS"
"2105.61546521936","1","NZMS"
"2122.19417043214","1","NZMS"
"2104.29620397198","1","NZMS"
"2117.47476067902","1","NZMS"
"2103.23390260736","1","NZMS"
"2110.73670685226","1","NZMS"
"2111.53166071605","1","NZMS"
"2121.21410422931","1","NZMS"
"2103.27387363996","1","NZMS"
"2106.04823404634","1","NZMS"
"2114.8540664696","1","NZMS"
"2114.5725044224","1","NZMS"
"2105.01298674158","1","NZMS"
"2109.5141601996","1","NZMS"
"2103.27730695267","1","NZMS"
"2111.24013009629","1","NZMS"
"2112.35315488293","1","NZMS"
"2104.56548908406","1","NZMS"
"2109.56904639065","1","NZMS"
"2108.90338790724","1","NZMS"
"2109.31526436009","1","NZMS"
"2119.41613487362","1","NZMS"
"2115.47226762238","1","NZMS"
"2100.73442830637","1","NZMS"
"2114.23014529325","1","NZMS"
"2102.94575912965","1","NZMS"
"2107.64649747224","1","NZMS"
"2114.16086631857","1","NZMS"
"2118.94932686531","1","NZMS"
"2103.74584633145","1","NZMS"
"2108.71109534136","1","NZMS"
"2109.2432609871","1","NZMS"
"2101.73211657089","1","NZMS"
"2108.12596641017","1","NZMS"
"2111.68778608827","1","NZMS"
"2108.12073850394","1","NZMS"
"2104.92492853717","1","NZMS"
"2108.51235045305","1","NZMS"
"2115.12394316327","1","NZMS"
"2111.83619528974","1","NZMS"
"2106.8338678369","1","NZMS"
"2112.03913555344","1","NZMS"
"2115.80843311055","1","NZMS"
"2107.8421027284","1","NZMS"
"2111.03461607967","1","NZMS"
"2109.3470671627","1","NZMS"
"2113.44000202299","1","NZMS"
"2101.66279096141","1","NZMS"
"2118.20357702447","1","NZMS"
"2105.61956694838","1","NZMS"
"2117.32820302104","1","NZMS"
"2105.78486101751","1","NZMS"
"2114.61466456694","1","NZMS"
"2099.35913360065","1","NZMS"
"2108.10060518757","1","NZMS"
"2117.50173910229","1","NZMS"
"2109.93193090466","1","NZMS"
"2106.73952880613","1","NZMS"
"2115.53780029154","1","NZMS"
"2106.21949039458","1","NZMS"
"2113.12260860624","1","NZMS"
"2124.53125304389","1","NZMS"
"2106.049096174","1","NZMS"
"2107.51617510058","1","NZMS"
"2109.08177149161","1","NZMS"
"2112.408795728","1","NZMS"
"2110.08073437755","1","NZMS"
"2104.01364632255","1","NZMS"
"2116.66963376451","1","NZMS"
"2114.54532975452","1","NZMS"
"2094.97894060497","1","NZMS"
"2106.95255006393","1","NZMS"
"2108.46289462255","1","NZMS"
"2108.17295339292","1","NZMS"
"2108.23771617613","1","NZMS"
"2108.38166562236","1","NZMS"
"2110.34474949219","1","NZMS"
"2111.58018215744","1","NZMS"
"2118.3012633189","1","NZMS"
"2106.08670849611","1","NZMS"
"2106.91214079105","1","NZMS"
"2109.51152942318","1","NZMS"
"2104.33739868482","1","NZMS"
"2111.19270099394","1","NZMS"
"2119.78539965263","1","NZMS"
"2111.13886320975","1","NZMS"
"2119.0055319413","1","NZMS"
"2117.36774640149","1","NZMS"
"2118.46461137603","1","NZMS"
"2110.60093864104","1","NZMS"
"2114.11535181202","1","NZMS"
"2101.2911083095","1","NZMS"
"2105.33398583052","1","NZMS"
"2113.87375147027","1","NZMS"
"2115.05543226153","1","NZMS"
"2122.59483903078","1","NZMS"
"2109.25272152162","1","NZMS"
"2104.25731700647","1","NZMS"
"2109.15162533242","1","NZMS"
"2105.75963568127","1","NZMS"
"2115.38781963889","1","NZMS"
"2104.43253525157","1","NZMS"
"2110.21544215814","1","NZMS"
"2110.61979418771","1","NZMS"
"2111.79074604178","1","NZMS"
"2123.99190191059","1","NZMS"
"2106.6981347733","1","NZMS"
"2106.68985570759","1","NZMS"
"2111.56986193116","1","NZMS"
"2115.47148676538","1","NZMS"
"2109.69279861322","1","NZMS"
"2109.641496844","1","NZMS"
"2110.36016767518","1","NZMS"
"2109.6596762668","1","NZMS"
"2117.86641879424","1","NZMS"
"2106.07904456788","1","NZMS"
"2099.58086338129","1","NZMS"
"2108.37554080043","1","NZMS"
"2111.21487907066","1","NZMS"
"2107.68619982337","1","NZMS"
"2111.25709399589","1","NZMS"
"2117.32211422306","1","NZMS"
"2106.62938239312","1","NZMS"
"2109.01067883434","1","NZMS"
"2105.94321145257","1","NZMS"
"2107.04802708293","1","NZMS"
"2114.32813268192","1","NZMS"
"2119.25430315906","1","NZMS"
"2112.16918262961","1","NZMS"
"2121.08454787969","1","NZMS"
"2121.81811987203","1","NZMS"
"2115.63738009354","1","NZMS"
"2114.07517456903","1","NZMS"
"2112.01222396111","1","NZMS"
"2111.41744095967","1","NZMS"
