"biomass","temperature","taxa"
"2177.49562258093","1","BAET"
"2138.30419434856","1","BAET"
"2171.63284232413","1","BAET"
"2170.97863691283","1","BAET"
"2168.47851067832","1","BAET"
"2147.54572263487","1","BAET"
"2160.7263398251","1","BAET"
"2161.26819811946","1","BAET"
"2150.7101647907","1","BAET"
"2165.80678304652","1","BAET"
"2154.71047875751","1","BAET"
"2149.22000879459","1","BAET"
"2154.54325550055","1","BAET"
"2155.34760873337","1","BAET"
"2169.04604013047","1","BAET"
"2139.95974595603","1","BAET"
"2159.14728029588","1","BAET"
"2155.33693672494","1","BAET"
"2161.43598305177","1","BAET"
"2160.0776698754","1","BAET"
"2147.35226548897","1","BAET"
"2148.47342928333","1","BAET"
"2150.23694984508","1","BAET"
"2166.96226019208","1","BAET"
"2147.60060962066","1","BAET"
"2147.46909661461","1","BAET"
"2161.33776745681","1","BAET"
"2134.76697826501","1","BAET"
"2166.71443592585","1","BAET"
"2159.16802001438","1","BAET"
"2168.37253529646","1","BAET"
"2165.44587882109","1","BAET"
"2157.02258784632","1","BAET"
"2140.38123057461","1","BAET"
"2154.63876556684","1","BAET"
"2153.89264946478","1","BAET"
"2148.65024073142","1","BAET"
"2166.60484775661","1","BAET"
"2143.80056348882","1","BAET"
"2140.00920126972","1","BAET"
"2152.46891188165","1","BAET"
"2158.72684719959","1","BAET"
"2165.45268196","1","BAET"
"2165.32356268605","1","BAET"
"2150.75281596128","1","BAET"
"2163.00969902462","1","BAET"
"2174.80677901846","1","BAET"
"2130.3726146431","1","BAET"
"2174.33981910966","1","BAET"
"2137.8568007084","1","BAET"
"2171.07713026995","1","BAET"
"2171.04183313922","1","BAET"
"2120.24694880657","1","BAET"
"2148.91659025494","1","BAET"
"2136.54697651335","1","BAET"
"2179.68520521385","1","BAET"
"2151.15648011239","1","BAET"
"2146.67345590789","1","BAET"
"2151.62007677336","1","BAET"
"2138.23082797556","1","BAET"
"2173.37932928189","1","BAET"
"2161.42587457777","1","BAET"
"2164.48080703412","1","BAET"
"2163.67326745871","1","BAET"
"2138.97960995335","1","BAET"
"2146.08652587715","1","BAET"
"2142.50032020129","1","BAET"
"2157.30777775577","1","BAET"
"2166.20333680731","1","BAET"
"2170.30797149574","1","BAET"
"2147.15060518008","1","BAET"
"2131.95550366716","1","BAET"
"2170.47965939006","1","BAET"
"2142.23747007487","1","BAET"
"2175.53044570646","1","BAET"
"2155.37207485606","1","BAET"
"2180.23175826116","1","BAET"
"2148.27809789121","1","BAET"
"2166.70603401824","1","BAET"
"2137.36042968554","1","BAET"
"2144.61651914064","1","BAET"
"2131.36248989987","1","BAET"
"2170.91469965868","1","BAET"
"2135.75560532605","1","BAET"
"2142.01085037231","1","BAET"
"2157.97173810612","1","BAET"
"2159.79684495144","1","BAET"
"2155.50023931914","1","BAET"
"2151.0738140813","1","BAET"
