"percapita","temperature","taxa"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
"0.0892602406275011","1","NZMS"
"0.450484161485276","1","NZMS"
"0.883915007217842","1","NZMS"
