"biomass","temperature","taxa"
"1983.78085095653","1","NZMS"
"1979.1199142561","1","NZMS"
"1985.50921108666","1","NZMS"
"1986.25442343557","1","NZMS"
"1985.64801867886","1","NZMS"
"1983.30082145511","1","NZMS"
"1988.65304021915","1","NZMS"
"1984.47764367399","1","NZMS"
"1986.18550820059","1","NZMS"
"1989.51366514886","1","NZMS"
"1981.40823595213","1","NZMS"
"1986.3107588501","1","NZMS"
"1988.16642385167","1","NZMS"
"1988.04403360626","1","NZMS"
"1981.67107239988","1","NZMS"
"1984.2296928322","1","NZMS"
"1983.86803932931","1","NZMS"
"1984.65736763159","1","NZMS"
"1984.26510579676","1","NZMS"
"1985.97150246236","1","NZMS"
"1986.9149272752","1","NZMS"
"1984.6888275708","1","NZMS"
"1983.0756184167","1","NZMS"
"1984.75448687122","1","NZMS"
"1982.75406413278","1","NZMS"
"1981.62370540134","1","NZMS"
"1984.98109181124","1","NZMS"
"1988.76248490407","1","NZMS"
"1988.12159098489","1","NZMS"
"1988.19972605315","1","NZMS"
"1985.60478196706","1","NZMS"
"1986.04205086114","1","NZMS"
"1985.39231466038","1","NZMS"
"1983.72958180374","1","NZMS"
"1988.4725940434","1","NZMS"
"1984.46736782089","1","NZMS"
"1979.58817093436","1","NZMS"
"1984.70921439031","1","NZMS"
"1985.28210054155","1","NZMS"
"1984.47885324173","1","NZMS"
"1983.9529994341","1","NZMS"
"1980.65396149184","1","NZMS"
"1985.79780161889","1","NZMS"
"1986.89530323086","1","NZMS"
"1987.60457827557","1","NZMS"
"1985.22666097728","1","NZMS"
"1985.13358792371","1","NZMS"
"1983.56724639542","1","NZMS"
"1985.77342530454","1","NZMS"
"1983.91515085217","1","NZMS"
"1979.23621116705","1","NZMS"
"1989.30367868915","1","NZMS"
"1988.44121472362","1","NZMS"
"1984.61833903368","1","NZMS"
"1989.6239236828","1","NZMS"
"1983.0582415374","1","NZMS"
"1987.09251695648","1","NZMS"
"1984.80797790713","1","NZMS"
"1982.91757454528","1","NZMS"
"1984.59620409946","1","NZMS"
"1984.29676523219","1","NZMS"
"1979.73407605608","1","NZMS"
"1979.64092553097","1","NZMS"
"1984.51012781374","1","NZMS"
"1989.79545598582","1","NZMS"
"1982.93061096471","1","NZMS"
"1985.15668507577","1","NZMS"
"1985.20950262234","1","NZMS"
"1988.20700344533","1","NZMS"
"1983.41011075028","1","NZMS"
"1986.34427900452","1","NZMS"
"1985.24741382196","1","NZMS"
"1983.54880573322","1","NZMS"
"1989.071840922","1","NZMS"
"1987.32676919618","1","NZMS"
"1983.83024196124","1","NZMS"
"1983.92638725537","1","NZMS"
"1982.98839742155","1","NZMS"
"1982.84905112639","1","NZMS"
"1980.11230017735","1","NZMS"
"1983.34650981753","1","NZMS"
"1978.7613076604","1","NZMS"
"1984.750641728","1","NZMS"
"1982.78804818998","1","NZMS"
"1986.6441008664","1","NZMS"
"1987.1849856959","1","NZMS"
"1989.4003544664","1","NZMS"
"1988.29941151999","1","NZMS"
"1983.5478374727","1","NZMS"
"1984.17970797785","1","NZMS"
"1983.71706988069","1","NZMS"
"1983.02185538817","1","NZMS"
"1984.31284496324","1","NZMS"
"1983.46306761934","1","NZMS"
"1983.78250926104","1","NZMS"
"1982.88989354701","1","NZMS"
"1981.66015160303","1","NZMS"
"1985.44556165281","1","NZMS"
"1982.26714340243","1","NZMS"
"1984.3737401814","1","NZMS"
"1988.43731900033","1","NZMS"
"1981.5765451004","1","NZMS"
"1981.62642274968","1","NZMS"
"1982.88463201416","1","NZMS"
"1987.55493157641","1","NZMS"
"1990.7400299786","1","NZMS"
"1982.93019704047","1","NZMS"
"1987.10582337214","1","NZMS"
"1983.45164283561","1","NZMS"
"1978.11373134802","1","NZMS"
"1981.34935588622","1","NZMS"
"1986.04383896307","1","NZMS"
"1984.1582129737","1","NZMS"
"1982.09537684475","1","NZMS"
"1985.56228069855","1","NZMS"
"1985.43150171712","1","NZMS"
"1990.41941864402","1","NZMS"
"1988.74326371847","1","NZMS"
"1985.9199670017","1","NZMS"
"1984.10679329819","1","NZMS"
"1985.92176864592","1","NZMS"
"1985.4129914106","1","NZMS"
"1980.67429625963","1","NZMS"
"1985.33520558841","1","NZMS"
"1984.64771712016","1","NZMS"
"1987.51990576637","1","NZMS"
"1987.18404494283","1","NZMS"
"1983.64238316096","1","NZMS"
"1982.44001422557","1","NZMS"
"1989.05063134323","1","NZMS"
"1982.62319611541","1","NZMS"
"1980.8290216102","1","NZMS"
"1985.68446350593","1","NZMS"
"1985.6945300779","1","NZMS"
"1984.74764951702","1","NZMS"
"1985.65267025271","1","NZMS"
"1986.4778979283","1","NZMS"
"1985.01861280337","1","NZMS"
"1982.28129159393","1","NZMS"
"1985.02641858397","1","NZMS"
"1988.08537153057","1","NZMS"
"1986.39581958368","1","NZMS"
"1981.60256823434","1","NZMS"
"1983.62829769425","1","NZMS"
"1986.21681241434","1","NZMS"
"1986.61928067051","1","NZMS"
"1982.93084160281","1","NZMS"
"1984.60565571459","1","NZMS"
"1983.35010394392","1","NZMS"
"1986.90261215764","1","NZMS"
"1984.86869844084","1","NZMS"
"1982.42354505546","1","NZMS"
"1983.72455155851","1","NZMS"
"1988.28793016132","1","NZMS"
"1986.18836091898","1","NZMS"
"1983.71828736327","1","NZMS"
"1979.84730554297","1","NZMS"
"1985.76356549643","1","NZMS"
"1985.9299444736","1","NZMS"
"1987.11435977294","1","NZMS"
"1987.3326684789","1","NZMS"
"1981.66884894621","1","NZMS"
"1982.41469495202","1","NZMS"
"1980.09001462746","1","NZMS"
