"biomass","temperature","taxa"
"2009.82818780954","1","NZMS"
"2006.3147828476","1","NZMS"
"2004.93866690094","1","NZMS"
"2011.68612002249","1","NZMS"
"2010.49791343436","1","NZMS"
"2012.85951646533","1","NZMS"
"2008.34157248516","1","NZMS"
"2006.69833738676","1","NZMS"
"2013.13862872149","1","NZMS"
"2004.91322369431","1","NZMS"
"2011.51343239402","1","NZMS"
"2005.98454521078","1","NZMS"
"2006.88019948212","1","NZMS"
"2009.40922014031","1","NZMS"
"2003.77868443083","1","NZMS"
"2005.32094181905","1","NZMS"
"2004.05931320944","1","NZMS"
"2017.80467091248","1","NZMS"
"2007.8104265898","1","NZMS"
"2003.97421851065","1","NZMS"
"2004.90847924093","1","NZMS"
"2006.39172419734","1","NZMS"
"2010.31822805338","1","NZMS"
"2004.32905959917","1","NZMS"
"2005.37774844001","1","NZMS"
"2007.8335117836","1","NZMS"
"2010.51654789289","1","NZMS"
"2008.35122801211","1","NZMS"
"2012.1798764414","1","NZMS"
"2006.4411288417","1","NZMS"
"2010.377275229","1","NZMS"
"2010.56712470305","1","NZMS"
"2006.41382690928","1","NZMS"
"2006.56895863085","1","NZMS"
"2009.8285463978","1","NZMS"
"2013.18298842107","1","NZMS"
"2004.03160651752","1","NZMS"
"2002.96303072928","1","NZMS"
"2004.99132771732","1","NZMS"
"2009.87576381225","1","NZMS"
"2006.59914403046","1","NZMS"
"2004.11597634793","1","NZMS"
"2005.34308132491","1","NZMS"
"2006.05909586196","1","NZMS"
"2009.54924226249","1","NZMS"
"2010.07777863326","1","NZMS"
"2007.75437003098","1","NZMS"
"2002.77194648077","1","NZMS"
"2007.45159280897","1","NZMS"
"2008.54250735705","1","NZMS"
"2006.2794612748","1","NZMS"
"2002.91093427163","1","NZMS"
"2006.13304714534","1","NZMS"
"2005.31221074794","1","NZMS"
"2004.83804987331","1","NZMS"
"2004.4779448522","1","NZMS"
"2005.30511962741","1","NZMS"
"2007.1433673406","1","NZMS"
"2004.69842874557","1","NZMS"
"2012.30633383397","1","NZMS"
"2007.91119712667","1","NZMS"
"2009.33124517999","1","NZMS"
"2010.31749265472","1","NZMS"
"2010.29026860002","1","NZMS"
"2008.24078874727","1","NZMS"
"2005.35684371498","1","NZMS"
"2011.10988743021","1","NZMS"
"2005.59080817066","1","NZMS"
"2000.7199547696","1","NZMS"
"2000.92169270054","1","NZMS"
"2014.08958383122","1","NZMS"
"2006.07218521152","1","NZMS"
"2009.76268431866","1","NZMS"
"2011.28568205522","1","NZMS"
"2008.89194796799","1","NZMS"
"2007.3180331122","1","NZMS"
"2007.7134914482","1","NZMS"
"2008.78006009901","1","NZMS"
"2007.37577277049","1","NZMS"
"2004.9432697685","1","NZMS"
"2012.98624006106","1","NZMS"
"2006.12522496965","1","NZMS"
"1998.69430123888","1","NZMS"
"2004.8154218985","1","NZMS"
"2008.43793793221","1","NZMS"
"2005.97693349316","1","NZMS"
"2014.42083960452","1","NZMS"
"2002.92089869986","1","NZMS"
"2008.13004910929","1","NZMS"
"2004.26330658766","1","NZMS"
"2007.8798682389","1","NZMS"
"2005.97022131916","1","NZMS"
"2015.96885713391","1","NZMS"
"2009.13962239677","1","NZMS"
"2009.18970718694","1","NZMS"
"2007.3940344579","1","NZMS"
"2006.70144775491","1","NZMS"
"2011.01670071649","1","NZMS"
"2007.3086944018","1","NZMS"
"2009.89181120371","1","NZMS"
"2009.34639108192","1","NZMS"
"2004.51464178963","1","NZMS"
"2003.144374252","1","NZMS"
"2017.0574612008","1","NZMS"
"2005.58039159193","1","NZMS"
"2010.86794316033","1","NZMS"
"2010.32443780703","1","NZMS"
"2005.17020450785","1","NZMS"
"2007.42433317239","1","NZMS"
"2012.1699375744","1","NZMS"
"2011.2985835983","1","NZMS"
"2007.58907052579","1","NZMS"
"2014.88597037609","1","NZMS"
"2006.04994403658","1","NZMS"
"2009.3068886071","1","NZMS"
"2011.53458589222","1","NZMS"
"2006.56932448359","1","NZMS"
"2007.79882600097","1","NZMS"
"2007.34894932636","1","NZMS"
"2014.45087868081","1","NZMS"
"2007.65915462202","1","NZMS"
"2010.35618575877","1","NZMS"
"2006.61215266669","1","NZMS"
"2010.41267754609","1","NZMS"
"2012.12254859924","1","NZMS"
"2007.42588064533","1","NZMS"
"2012.89739140253","1","NZMS"
"2006.09675604452","1","NZMS"
"2006.65812507064","1","NZMS"
"2011.82114342169","1","NZMS"
"2009.21117366856","1","NZMS"
"2007.85234972512","1","NZMS"
"2010.90861336998","1","NZMS"
"2005.07158190309","1","NZMS"
"2013.29362351488","1","NZMS"
"2005.89762178774","1","NZMS"
"2014.69018147396","1","NZMS"
"2005.00625157684","1","NZMS"
"2011.30247620692","1","NZMS"
"2010.52739402774","1","NZMS"
"2012.18427976848","1","NZMS"
"2005.39538758736","1","NZMS"
"2008.18380962559","1","NZMS"
"2003.65388753489","1","NZMS"
"2009.55370792926","1","NZMS"
"2007.84506015219","1","NZMS"
"2006.47766364011","1","NZMS"
"2008.53921696869","1","NZMS"
"2011.93901803457","1","NZMS"
"2011.03060986547","1","NZMS"
"2010.20319129134","1","NZMS"
"2012.00369986528","1","NZMS"
"2003.9019327876","1","NZMS"
"2005.63616207856","1","NZMS"
"2006.36788695553","1","NZMS"
"2005.39977918876","1","NZMS"
"2011.35040800261","1","NZMS"
"2008.21367427745","1","NZMS"
"2015.54967535018","1","NZMS"
"2007.43351780474","1","NZMS"
"2012.51624219033","1","NZMS"
"2009.54156713169","1","NZMS"
"2005.95891309134","1","NZMS"
"2007.59384673765","1","NZMS"
